Kecamatan;Kelurahan;Tanggal;Lokasi Kebakaran;Benda;Penyebab Kebakaran;Nilai;Luas Areal (M2)
Bojongloa Kidul;Situsaeur;21-Sep-20;Jl. Kopo  Pos Keluar DISHUB Leuwi Panjang;Kendaraan Roda 4 (Angkot);Korsleting Listrik; -;-
Cidadap;Ledeng;21-Sep-20;Jl. Setiabudhi (Depan Terminal Ledeng);Sebuah Mobil Minibus;Masih Dalam Penyelidikan; -;-
Sukajadi;Cipedes;21-Sep-20;Jl. Cipedes Tengah Gg. H. sanusi RT 04/06;Sebuah Rumah;Korsleting Listrik;800000000;60
Bojongloa Kaler;Babakan Tarogong;25-Sep-20;Jl. Terusan Pasir Koja No. 79-81 RT 02/03;Sebuah Ruko;Korsleting Listrik;10000000000;8
Sukasari;Sarijadi;25-Sep-20;Jl. Sarimanah No. 103 RT 10/09;Sebuah Rumah (warung nasi);Diduga Dari Penggorengan;1080800000;75
Rancasari;Manjahlega;27-Sep-20;Jl. Venus Barat VIII No. 23 RT 03/01;Sebuah Rumah;Korsleting Listrik;900000000;80
Kiaracondong;Cicaheum;04 Oktober 2020;Jl. Ahmad Yani No. 806;Sebuah Pabrik PT. Tarumatex;Dalam Penyelidikan;3304000000;350
Mandalajati;Sindang Jaya;04 Oktober 2020;Jl. A.H. Nasution No. 291 RT 01 RW 12;Sebuah Mesin Pendingin Mini Market;Korsleting Listrik;1500000000;-
Bojongloa Kaler;Kopo;07 Oktober 2020;Jl. Caringin RT 05 RW 02;Sebuah Tempat Pembuangan Sampah;Dalam Penyelidikan;400000000;15
Kiaracondong;Cicaheum;13 Oktober 2020;Jl. Ahmad Yani No. 806;Sebuah Bengkel Las;Kebocoran  Tabung Gas;20000000;16
Regol;Ancol;13 Oktober 2020;Jl. Kembar Timur 6 No. 10;Sebuah Tabung Gas;Kebocoran  Tabung Gas;500000000;
Cidadap;Hegarmanah;14 Oktober 2020;Jl. Hegarmanah Gg. Madtaris RT 02 RW 08;Sebuah Rumah Semi Permanen;Dalam Penyelidikan;430000000;28
Panyileukan;Cipadung Kulon;14 Oktober 2020;Jl. Pangaritan Gg. Widya No. 52 RT 03 RW 07;Sebuah Rumah Kontrakan  Bagian Kamar Lantai 2;Dalam Penyelidikan;705600000;30
Sukasari;Gegerkalong;16 Oktober 2020;Jl. Dr. Setiabudhi No. 188 Depan ENHAI;Sebuah Kendaraan Roda 4 Mercedesbenz B 1953 HT;Korsleting Listrik; -;-
Cicendo;Arjuna;17 Oktober 2020;Jl. Pasir Kaliki No. 65;Sebuah Panel Listrik Mini Market;Dalam Penyelidikan;1305000000;-
Sukajadi;Sukagalih;17 Oktober 2020;Jl. Sukamulya (Sebelah Hotel Aston Pasteur);9 (Sembilan) Buah Kios Semi Permanen;Dalam Penyelidikan;138000000;116
Sukajadi;Pasteur;18 Oktober 2020;Jl. Dr. Junjunan ;Tumpukan Sampah;Dalam Penyelidikan;"2,93E+11";15
