Kecamatan;Kelurahan;Tanggal;Lokasi Kebakaran;Benda;Penyebab Kebakaran;Nilai;Luas Areal (M2)
Andir;Maleber;30 April 2020;Jl. Sudirman RT 01 RW 10;Kabel Telekomunikasi;Korsleting Listrik;-;-
Andir;Campaka;4 April 2020;Jl. Babakan Cianjur No. 66 RT 02 RW 07;Sebuah Rumah Bagian Dapur;Masih Dalam Penyelidikan;450000000;3
Batununggal;Kebon Waru;5 April 2020;Jl. Banten No. 6 RT 07 RW 07;Gardu Listrik;Korsleting Listrik;-;2
Bojongloa Kaler;Suka Asih;8 April 2020;Jl. Peta Blok Q 19 RT 09 RW 10 (Komplek Bumi Kopo Kencana);Ruko Tempat Pembuatan Liquid Vape;Masih Dalam Penyelidikan;2610000000;100
Babakan Ciparay;Cirangrang;02 Mei 2020;Perumahan Kopo Elok Gg. Sayang kaang RT 03 RW 04;Rumah Semi Permanen;Masih Dalam Penyelidikan;345100000;24
Cibeunying Kaler;Cigadung;06 Mei 2020;Jl. Cigadung Raya Barat No. 26 RT 02/02;Sebuah Kamar Kost;Masih Dalam Penyelidikan;100000000;12
Sumur Bandung;Babakan Ciamis;06 Mei 2020;Kantor BPPD Kota Bandung Jl. Wastukencana No. 2;Lantai Mengeluarkan Asap;Masih Dalam Penyelidikan;500000000;50
Cibeunying Kaler;Sukaluyu;07 Mei 2020;Jl. Cikutra Barat No. 1 E;Sebuah Kipas Angin di Bengkel Moscow;Diduga Dari Kipas Angin Masih Menancap Di Stop Kontak;400000000;1
Bandung Kulon;Warung Muncang;13 Mei 2020;Jl. Nana Rohana No. 51 RT 07 RW 01;Sebuah Pabrik Kerupuk (PD. Mujur Snack) dan  Gudang Mei Bihun  (PT. Jayakarta);Masih Dalam Penyelidikan;3500000000;550
Rancasari;Manjahlega;13 Mei 2020;Jl. Saturnus Barat I No. 2 RT 03 RW 15;Sebuah Kasur Bekas di Dalam Gudang;Masih Dalam Penyelidikan;630000000;4
Cibeunying Kaler;Cigadung;15 Mei 2020;Jl. Ekologi No. 4 RT 03 RW 07;Kabel Listrik;Korsleting Listrik;-;-
Arcamanik;Cisaranten Kulon;17 Mei 2020;Jl. Soekarno Hatta  (Samping Kanan Apartemen Panoramic);2 (Dua) Buah Rumah ;Masih Dalam Penyelidikan;35000000;600
Regol;Ciseureuh;20 Mei 2020;Jl. Moh Toha 355-357 RT 01 RW 06;2 (Dua) Buah Ruko;Masih Dalam Penyelidikan;1400000000;100
Babakan Ciparay;Babakan;21 Mei 2020;Jl. Holis No. 147 B;Sebuah Gudang Majun;Masih Dalam Penyelidikan;500000000;50
Antapani;Antapani Kidul;22 Mei 2020;Jl. PuRW akaRT a No. 123 RT 04 RW 01;Sebuah Bengkel Tambal Ban dan Toko Kelontong;Masih Dalam Penyelidikan;100000000;18
Cibeunying Kidul;Cicadas;24 Mei 2020;Jl. Sukarasa No. 50 Gg. Pipit RT 04/09;Sebuah Rumah;Diduga Dari Kebocoran  Tabung Gas;150000000;36
Batununggal;Kebon Gedang;30 Mei 2020;Kolong Jembatan Fly Over Kiaracondong Jl. Ibrahim adjie 202;Tumpukan Sampah;Pembakaran Sampah;-;5
Cidadap;Ledeng;02 Juni 2020;Jl. Setiabudi RT 01 RW 02;Tiang Listrik;Korsleting Listrik;12000000;-
Lengkong;Cijagra;10 Juni 2020;Jl. Buah Batu (Depan Polsek Lengkong) RT 01 RW 03;Warung Pecel Lele (Bagian Dapur) dan Counter Pulsa;Kebocoran Tabung Gas;101500000;10
Cibeunying Kidul;Sukamaju;12 Juni 2020;Jl. Terusan Citamiang No. 8 RT 05 RW 10;Sebuah Rumah Bagian Kamar;Diduga Dari Lilin;500000000;12
Bandung Kulon;Caringin;17 Juni 2020;Jl. Holis No. 258 (Dekat Rumah Duka Bumi Baru);Sebuah Rumah (Bagian Kamar);Masih Dalam Penyelidikan;1200000000;70
Arcamanik;Cisaranten Endah;18 Juni 2020;Jl. Pawenang 2 RT 03 RW 05;Sebuah Rumah;Korsleting Listrik;500000000;28
Buahbatu;Cijaura;20 Juni 2020;Jl. Ters. Ibrahim Adjie No. 56 RT 03/02;Sebuah Rumah;Korsleting Korsleting;2000000000;80
Lengkong;Turangga;20 Juni 2020;Jl. Lodaya No. 36 (Restoran Daleman);Sebuah Restoran Daleman Bagian  Dapur Kompor Gas;Kebocoran Tabung Gas;100000000;6
Bandung Kulon;Gempol Sari;21 Juni 2020;Jl. Dirgantara 3 No. 90 RT 07 RW 05;Sebuah Rumah Difungsikan Sebagai Home Indrustri Konveksi Kaos;Masih Dalam Penyelidikan;1787500000;200
Bandung Kidul;Mengger;23 Juni 2020;Jl. Butununggal Indah 1 (Samping Lapang Batununggal);Sebuah Kendaraan Roda 2 (D 6552 AV);Diduga Dari Kebocoran  Bahan Bakar;-;-
Sukasari;Gegerkalong;28 Juni 2020;Jl. Setiabudi No. 149;Sebuah Mini Market (Indomaret);Masih Dalam Penyelidikan;1276000000;80
Sukajadi;Pasteur;05 Juli 2020;Jl. Rikrik No. 16 RT 03 RW 08;Sebuah Rumah Bagian Atap dan Water Heater;Diduga Dari Water Heater  Masih Menyala;2500000000;5
Bandung Wetan;Taman Sari;06 Juli 2020;Jl. Kebon Kembang RT 05 RW 05;Sebuah Bedeng bekas bangunan rumah;Dalam Penyelidikan; -;140
Batununggal;Samoja;06 Juli 2020;Jl. Cinta Asih No. 147 RT 05 RW 05;Sebuah Home Industri (Pembuatan Batagor);Dalam Penyelidikan;10000000;25
Rancasari;Cipamokolan;06 Juli 2020;Jl. Kali Cipamokolan Rancaloa RT 03/02;Sebuah Rumah Bagian Dapur;Diduga Dari Sisa Pembakaran;1000000000;10
Cibeunying Kaler;Cigadung;11 Juli 2020;Jl. Cikutra Barat No. 44 RT 06 RW 12 (Chibenk Motor);Sebuah kendaraan roda 2 dan atap kanopi plastik (di garasi);Korsleting Listrik;500000000;2
Cibeunying Kidul;Sukamaju;11 Juli 2020;Jl. Cisebe No. 33 RT 12 RW 07;Sebuah Rumah Kosong;Dalam Penyelidikan;5100000000;150
Cicendo;Pasirkaliki;14 Juli 2020;Jl. Cicendo Gg. Polisi Dalam No. 98A RT 03 RW 05;Sebuah Rumah;Kebocoran Gas;50000000;2
Sukasari;Gegerkalong;19 Juli 2020;Jl. Sindang Sirna No. 14 RT 05 RW 06;Sebuah kios rokok;Dalam Penyelidikan;33600000000;6
Cibeunying Kidul;Sukamaju;21 Juli 2020;Jl. Sadireja No. 357/41 RT 04 RW 03;Sebuah Rumah 2 lantai;Dalam Penyelidikan;845600000;20
Antapani;Antapani Tengah;24 Juli 2020;Jl. Cibodas Raya (Saeuran) RT 04 RT 22;Tumpukan sampah dan alang-alang;Pembakaran Sampah; -;500
Lengkong;Cijagra;24 Juli 2020;Jl. Soekarno Hatta (Perempatan Buah Batu);Lahan Alang-alang;Gesekan Antara Alang-Alang Kering; -;1300
Bojongloa Kidul;Mekar Wangi;25 Juli 2020;Taman Mekar Abadi I No. 62 RT 03 RW 06;Sebuah Home Industri Kosmetik;Dalam Penyelidikan;5000000000;120
Arcamanik;Cisaranten Kulon;26 Juli 2020;Jl. Cisaranten Kulon RT 01 RW 09;Warung Nasi Tegal;Masih Dalam Penyelidikan;200000000;735
Sukajadi;Cipedes;26 Juli 2020;Jl. Cipedes  Tengah No. 448;Sebuah Tangki Motor dan Jok;Masih Dalam Penyelidikan;1500000000;-
Andir;Campaka;31 Juli 2020;Jl. Babakan Cianjur (Samping Runway Barat Bandara Husaein Sastranegara) RT 06 RW 06;Sebuah Rumah Semi Permanen;Masih Dalam Penyelidikan;1324000000;42
Bandung Kidul;Kujangsari;31 Juli 2020;Jl. Terusan Buah Batu No. 180 RT 03/01;Lahan Kosong;Masih Dalam Penyelidikan;266800000;25
Buahbatu;Cijaura;31 Juli 2020;Perumahan Margawangi Estate Jl. Margawangi Selatan V RT 08/13;Lahan Kosong;Masih Dalam Penyelidikan;300000000;200
Rancasari;Derwati;03 Agustus 2020;Jl. Derwati RT 05 RW 05 (Sebelum Jembatan Arah Sapan) ;Lahan Kosong;Masih Dalam Penyelidikan;120000000;1800
Bojongloa Kidul;Cibaduyut Wetan;06 Agustus 2020;Jl. Cibaduyut Raya Gg.h Saleh RT 01 RW 01;Sebuah Rumah/Difungsikan  Sebagai Gudang Spons;Masih Dalam Penyelidikan;1148000000;6
Buahbatu;Jati Sari;06 Agustus 2020;Jl. Kawaluyaan Utara RT 06 RW 06 (PT. Gudang Garam);Lahan Kosong;Masih Dalam Penyelidikan;2500000000;20
Rancasari;Cipamokolan;07 Agustus 2020;Jl. Parakan Saat 1 RT 01 RW 01;Rumah Makan;Kebocoran Regulator Gas;10000000;10
Bojongloa Kidul;Cibaduyut Wetan;09 Agustus 2020;Jl. Terusan Cibaduyut (Terminal Cibadyut);Kabel Telkom;Masih Dalam Penyelidikan;429200000;-
Cicendo;Husein Sastranegara;09 Agustus 2020;Jl. Abdulrahman Saleh;Kios Polet Motor/Skotlait;Korek Gas Yang Meledak;672000000;3
Kiaracondong;Babakan Sari;09 Agustus 2021;Jl. Mekar Sari RT 04 RW 17;Lahan Kosong;Diduga Dari Diakibatkan Cuaca Panas;-;300
Babakan Ciparay;Sukahaji;11 Agustus 2020;Jl. Babakan Ciparay Gg. Ibu Asih No. 11 RT 06 RW 02;Kabael di Tiang Listrik;Konsleting Listrik;-;1
Panyileukan;Cipadung Kidul;11 Agustus 2020;PT. Longdi Jl. Raya Ciapdung KN. 12;Panyileukan;Konsleting Listrik;1120000;1000
